지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s)
642,문화,2017-06-01,22,16.8,27.7,0,7.2,1.8
642,문화,2017-06-02,20.6,13.1,28.1,0,5.6,1.5
642,문화,2017-06-03,20.6,16,26.1,0,7,1.8
642,문화,2017-06-04,21.2,12.4,28.7,0,6.9,1.4
642,문화,2017-06-05,22.6,14.2,30.2,0,6.2,1.3
642,문화,2017-06-06,18.7,15.7,22.8,9.5,4.7,1.4
642,문화,2017-06-07,17.8,16.1,19.3,4.5,6.5,1.6
642,문화,2017-06-08,20.3,15.8,27.1,0,6.4,1.7
642,문화,2017-06-09,22.3,16,29,0,9.1,2.2
642,문화,2017-06-10,22.7,19.7,27.4,0,5.5,2
642,문화,2017-06-11,23.3,16.4,30.1,0,6.2,1.3
642,문화,2017-06-12,21.9,17.4,27.3,0,5.4,1.4
642,문화,2017-06-13,21.9,17.7,27.7,0,6.2,1.5
642,문화,2017-06-14,21.8,15.1,28.8,0,6.4,1.4
642,문화,2017-06-15,23.3,16.6,30.5,0,7.2,2.1
642,문화,2017-06-16,25,17.8,33.4,0,6,1.3
642,문화,2017-06-17,24.9,17.2,32.3,0,5.5,1.1
642,문화,2017-06-18,25.1,17.6,34,0,6.6,1.3
642,문화,2017-06-19,26.2,18.6,34.1,0,5.9,1.1
642,문화,2017-06-20,25.5,20,31.4,0,4.3,.9
642,문화,2017-06-21,25.2,20.7,31.4,0,7.6,1.8
642,문화,2017-06-22,25.6,19.7,32.6,0,5.1,1.4
642,문화,2017-06-23,27.5,20.9,35,0,5.7,1.4
642,문화,2017-06-24,24.1,20.4,32.6,4.5,5.9,1.1
642,문화,2017-06-25,25,20,31,0,6.4,1.3
642,문화,2017-06-26,23.8,20.9,28.7,3,5.3,1.2
642,문화,2017-06-27,24.4,21.1,29.6,23,4.6,1.2
642,문화,2017-06-28,25.1,20.7,32.4,5.5,5.5,1.3
642,문화,2017-06-29,26.2,21.8,31.2,0,4.4,1.1
642,문화,2017-06-30,26.9,23.2,32.7,0,6.3,1.4
642,문화,2017-07-01,24.1,21.9,25.7,21,3.1,.7
642,문화,2017-07-02,26.1,24.1,29.4,32.5,6.8,.9
642,문화,2017-07-03,25.6,24.4,29.4,75,7.3,2.1
642,문화,2017-07-04,26.2,23.4,29.9,19.5,6.4,1.7
642,문화,2017-07-05,28,23.6,33.4,0,4.4,1
642,문화,2017-07-06,26.4,23.4,34,4,7,.9
642,문화,2017-07-07,27.2,23.4,30.6,3,4.3,.7
642,문화,2017-07-08,26.4,23.1,30.3,55,5.3,.8
642,문화,2017-07-09,27.6,23.5,34.3,40.5,11.1,.9
642,문화,2017-07-10,26.8,23.9,30.1,18.5,6.1,1
642,문화,2017-07-11,27,23.8,32.4,4.5,7.5,2.1
642,문화,2017-07-12,27.9,24.4,33.2,0,5.4,1.5
642,문화,2017-07-13,27.6,22.6,33.3,0,5.4,1.2
642,문화,2017-07-14,27.6,24.4,34.5,3.5,7.1,1.2
642,문화,2017-07-15,25.4,23.1,27.8,24.5,6,1.2
642,문화,2017-07-16,27.6,25.1,30.7,0,7.2,1.9
642,문화,2017-07-17,25.8,22.8,29.6,9.5,8.8,1.2
642,문화,2017-07-18,25.7,22.6,29.2,2,4.6,1.2
642,문화,2017-07-19,28.2,24.5,33.1,0,3.5,1
642,문화,2017-07-20,29.2,24.9,34.3,0,4.6,1.3
642,문화,2017-07-21,30,26,34.5,0,6.8,1.3
642,문화,2017-07-22,29.6,27.2,33.2,0,4.7,1.3
642,문화,2017-07-23,27.9,26.4,30.1,.5,4,1.2
642,문화,2017-07-24,28.5,27.1,31.1,2,5.7,1.2
642,문화,2017-07-25,28.4,25.8,33.3,30,6,1.4
642,문화,2017-07-26,27.9,24.4,32.1,0,6.1,1.7
642,문화,2017-07-27,28,22.4,33.4,0,4.1,1.1
642,문화,2017-07-28,28.4,25.1,32.7,1,5.3,1.4
642,문화,2017-07-29,27.2,25.3,30.9,.5,6.6,1.5
642,문화,2017-07-30,27.6,24.5,32.7,8,6.6,1.1
642,문화,2017-07-31,24.9,23.4,26.8,36,4.3,.7
642,문화,2017-08-01,27.1,21.6,33.4,21,11,.8
642,문화,2017-08-02,29.4,24.9,34.9,0,4,1
642,문화,2017-08-03,28.7,25,33,0,6.6,2
642,문화,2017-08-04,30.3,24.6,34.9,0,4.3,1.2
642,문화,2017-08-05,31.9,26.9,36.8,0,4.3,1.2
642,문화,2017-08-06,30.1,26.1,36.9,36.5,6.6,1.1
642,문화,2017-08-07,29,24.8,34.6,0,5.5,1.4
642,문화,2017-08-08,28.5,25.5,32.9,0,4.5,.9
642,문화,2017-08-09,24.7,23.1,27.5,21,4.1,.9
642,문화,2017-08-10,26.3,24.1,31.6,46,6.4,1.1
642,문화,2017-08-11,26.2,22.8,33.3,54.5,7.5,.7
642,문화,2017-08-12,26.9,22.5,31.9,0,6,1
642,문화,2017-08-13,24.9,22.5,26.6,2.5,6.2,1.5
642,문화,2017-08-14,22.8,21.1,25.8,64,8,1.4
642,문화,2017-08-15,23.6,21.8,25.3,44,6,1.2
642,문화,2017-08-16,25.6,23.1,29.5,3.5,3.9,.9
642,문화,2017-08-17,26.1,23.5,30.7,0,4.4,1.2
642,문화,2017-08-18,26.6,22.6,31.3,0,4.6,.9
642,문화,2017-08-19,25.5,22.8,31.1,4,5.1,.8
642,문화,2017-08-20,26.4,23.5,30.5,5.5,5.7,1.4
642,문화,2017-08-21,24.8,23.1,28.9,43.5,6.2,.8
642,문화,2017-08-22,27.6,23.8,32.6,0,6.7,1.1
642,문화,2017-08-23,28.9,25.7,33.6,1.5,6.4,1.5
642,문화,2017-08-24,28.2,25.7,31.5,49,9.4,2.4
