일자,평균
2017년 10월 10일,100265
2017년 10월 11일,100174
2017년 10월 12일,99932
2017년 10월 13일,107174
2017년 10월 14일,110154
2017년 10월 15일,93524
2017년 10월 16일,107090
2017년 10월 17일,107990
2017년 10월 18일,105905
2017년 10월 19일,108980
2017년 10월 1일,90462
2017년 10월 21일,112677
2017년 10월 22일,94609
2017년 10월 23일,109922
2017년 10월 24일,89582
2017년 10월 25일,108705
2017년 10월 26일,107769
2017년 10월 27일,110437
2017년 10월 28일,113371
2017년 10월 29일,96137
2017년 10월 2일,98868
2017년 10월 30일,109326
2017년 10월 31일,94880
2017년 10월 3일,84867
2017년 10월 4일,89114
2017년 10월 5일,81267
2017년 10월 6일,86330
2017년 10월 7일,95932
2017년 10월 8일,87753
2017년 10월 9일,93862
2017년 11월 10일,109494
2017년 11월 11일,111895
2017년 11월 12일,95119
2017년 11월 13일,105285
2017년 11월 14일,106720
2017년 11월 15일,94034
2017년 11월 16일,106734
2017년 11월 17일,109719
2017년 11월 18일,107577
2017년 11월 19일,93787
2017년 11월 1일,107699
2017년 11월 20일,106947
2017년 11월 21일,107049
2017년 11월 22일,105946
2017년 11월 23일,105620
2017년 11월 24일,111891
2017년 11월 25일,106208
2017년 11월 26일,91512
2017년 11월 27일,106872
2017년 11월 28일,104619
2017년 11월 29일,107363
2017년 11월 2일,105564
2017년 11월 30일,106125
2017년 11월 3일,109676
2017년 11월 4일,109914
2017년 11월 5일,95493
2017년 11월 6일,108387
2017년 11월 7일,94941
2017년 11월 8일,95119
2017년 11월 9일,108694
2017년 12월 10일,86153
2017년 12월 11일,102537
2017년 12월 12일,103945
2017년 12월 13일,102143
2017년 12월 14일,104479
2017년 12월 15일,106992
2017년 12월 16일,104789
2017년 12월 17일,89767
2017년 12월 18일,102316
2017년 12월 19일,100807
2017년 12월 1일,111249
2017년 12월 20일,101415
2017년 12월 21일,100904
2017년 12월 22일,107729
2017년 12월 23일,103251
2017년 12월 24일,83058
2017년 12월 25일,86678
2017년 12월 26일,101472
2017년 12월 27일,104460
2017년 12월 28일,103699
2017년 12월 29일,106780
2017년 12월 2일,106055
2017년 12월 30일,98822
2017년 12월 31일,87094
2017년 12월 3일,91653
2017년 12월 4일,104310
2017년 12월 5일,104364
2017년 12월 6일,99014
2017년 12월 7일,103408
2017년 12월 8일,107569
2017년 12월 9일,102343
2017년 6월 10일,110838
2017년 6월 11일,92274
2017년 6월 12일,108882
2017년 6월 13일,108516
2017년 6월 14일,109120
2017년 6월 15일,109127
2017년 6월 16일,112594
2017년 6월 17일,111319
2017년 6월 18일,92599
2017년 6월 19일,108087
2017년 6월 1일,108656
2017년 6월 20일,109456
2017년 6월 21일,109322
2017년 6월 22일,109910
2017년 6월 23일,112333
2017년 6월 24일,108693
2017년 6월 25일,92206
2017년 6월 26일,108679
2017년 6월 27일,107833
2017년 6월 28일,107717
2017년 6월 29일,108270
2017년 6월 2일,114477
2017년 6월 30일,113039
2017년 6월 3일,111557
2017년 6월 5일,112199
2017년 6월 6일,93926
2017년 6월 7일,105052
2017년 6월 8일,108703
2017년 6월 9일,112822
2017년 7월 10일,106014
2017년 7월 11일,105961
2017년 7월 12일,109842
2017년 7월 13일,109941
2017년 7월 14일,113667
2017년 7월 15일,106380
2017년 7월 16일,90871
2017년 7월 17일,107020
2017년 7월 18일,107295
2017년 7월 19일,109707
2017년 7월 1일,105991
2017년 7월 20일,110185
2017년 7월 21일,114121
2017년 7월 22일,109597
2017년 7월 23일,90666
2017년 7월 24일,105979
2017년 7월 25일,108601
2017년 7월 26일,108339
2017년 7월 27일,108914
2017년 7월 28일,111860
2017년 7월 29일,105536
2017년 7월 2일,88273
2017년 7월 30일,92147
2017년 7월 31일,105235
2017년 7월 3일,104190
2017년 7월 4일,105188
2017년 7월 5일,109859
2017년 7월 6일,106714
2017년 7월 7일,111904
2017년 7월 8일,104923
2017년 7월 9일,91340
2017년 8월 10일,107041
2017년 8월 11일,111121
2017년 8월 12일,105095
2017년 8월 13일,87318
2017년 8월 14일,103671
2017년 8월 15일,89066
2017년 8월 16일,105889
2017년 8월 17일,106525
2017년 8월 18일,111522
2017년 8월 19일,107367
2017년 8월 1일,106805
2017년 8월 20일,91969
2017년 8월 21일,105445
2017년 8월 22일,107410
