,date,도로,00:00:00,00:00:00,00:00:00,01:00:00,01:00:00,01:00:00,02:00:00,02:00:00,02:00:00,03:00:00,03:00:00,03:00:00,04:00:00,04:00:00,04:00:00,05:00:00,05:00:00,05:00:00,06:00:00,06:00:00,06:00:00,07:00:00,07:00:00,07:00:00,08:00:00,08:00:00,08:00:00,09:00:00,09:00:00,09:00:00,10:00:00,10:00:00,10:00:00,11:00:00,11:00:00,11:00:00,12:00:00,12:00:00,12:00:00,13:00:00,13:00:00,13:00:00,14:00:00,14:00:00,14:00:00,15:00:00,15:00:00,15:00:00,16:00:00,16:00:00,16:00:00,17:00:00,17:00:00,17:00:00,18:00:00,18:00:00,18:00:00,19:00:00,19:00:00,19:00:00,20:00:00,20:00:00,20:00:00,21:00:00,21:00:00,21:00:00,22:00:00,22:00:00,22:00:00,23:00:00,23:00:00,23:00:00
,date,도로,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량,통행속도,차로당교통량,총교통량
0,2017년06월,계룡로,59.6,455,1609,62.0,306,1090,62.7,236,843,62.5,184,658,60.5,198,705,60.4,309,1099,56.6,583,2064,52.3,1042,3715,45.0,1294,4639,48.2,1227,4387,47.2,1207,4287,47.3,1201,4268,48.3,1146,4082,46.9,1239,4423,45.5,1256,4485,45.5,1260,4511,45.2,1292,4626,44.3,1336,4812,41.4,1402,5059,45.6,1220,4377,47.5,1093,3915,47.6,1064,3801,50.3,898,3190,56.2,619,2197
1,2017년06월,계백로,60.5,268,929,61.3,174,607,61.3,126,442,61.2,100,343,60.7,122,406,62.7,265,830,59.6,570,1774,56.4,948,2910,52.2,1057,3253,54.0,966,3063,53.3,944,2994,52.7,937,2983,52.6,890,2852,51.3,959,3058,50.9,991,3154,50.4,1012,3222,50.1,1051,3341,49.0,1162,3631,48.6,1173,3658,51.1,948,3022,50.9,802,2642,52.3,726,2404,54.0,575,1941,57.4,393,1349
2,2017년06월,계족로,50.1,197,686,49.9,123,426,49.6,95,329,48.7,76,264,48.4,109,376,49.1,236,821,47.1,416,1446,44.0,659,2304,44.2,740,2595,44.6,688,2414,45.8,661,2320,45.5,648,2278,45.2,642,2250,44.7,679,2385,44.9,692,2422,44.7,708,2491,44.6,755,2652,44.5,801,2823,43.3,814,2876,44.5,682,2399,44.7,593,2077,45.2,537,1882,46.9,432,1509,49.1,298,1036
3,2017년06월,동서대로2,62.4,69,276,64.2,48,192,64.7,41,162,65.2,37,146,65.6,50,196,68.5,123,490,69.1,236,942,67.6,400,1598,66.3,495,1980,65.2,472,1886,65.3,425,1698,65.6,397,1585,65.4,391,1563,65.1,415,1658,64.8,418,1671,65.0,424,1695,64.1,468,1872,64.2,533,2134,64.0,635,2538,64.0,501,2001,59.1,207,830,59.1,172,686,60.1,138,550,62.6,95,379
4,2017년07월,계룡로,69.6,425,1498,70.7,300,1060,70.6,233,829,70.5,186,660,68.6,189,677,67.9,289,1027,67.2,542,1910,63.0,964,3435,56.3,1214,4349,58.0,1178,4210,57.3,1176,4179,57.9,1172,4170,58.4,1145,4082,57.4,1212,4334,56.1,1229,4393,56.1,1232,4415,55.6,1250,4487,55.1,1292,4659,53.4,1352,4876,57.0,1192,4281,57.9,1063,3810,58.2,1002,3571,61.5,817,2901,66.3,566,1998
5,2017년07월,계백로,59.2,262,913,58.9,173,607,58.0,128,448,58.0,100,346,57.3,121,402,58.5,243,767,57.2,529,1657,54.5,876,2702,51.3,997,3086,52.4,939,2986,52.0,944,2990,51.1,946,3002,50.8,921,2946,49.8,980,3118,49.7,1000,3179,48.9,1016,3239,48.5,1053,3340,47.9,1134,3555,46.9,1158,3617,49.7,933,2999,50.0,785,2600,51.0,701,2332,53.1,547,1856,56.6,376,1288
6,2017년07월,계족로,49.4,201,705,49.0,126,443,48.7,96,339,47.6,78,275,47.1,108,377,47.6,218,761,47.4,391,1365,43.8,615,2160,43.9,699,2453,44.3,661,2326,44.5,654,2297,44.7,650,2287,44.2,653,2291,43.8,678,2385,43.7,688,2410,44.1,696,2448,43.5,729,2562,43.5,777,2741,42.1,794,2807,43.5,669,2356,43.8,581,2037,44.8,516,1812,46.5,410,1439,48.4,289,1006
7,2017년07월,동서대로2,61.1,65,256,61.7,47,187,62.5,40,160,62.6,37,148,62.1,45,179,63.3,101,405,66.5,220,876,65.2,370,1480,64.9,455,1820,64.2,434,1737,64.1,408,1631,64.5,390,1557,64.2,389,1554,64.3,415,1657,64.3,415,1659,63.8,429,1718,62.6,470,1881,63.2,523,2090,63.1,600,2398,62.3,468,1871,57.3,190,762,57.6,161,646,58.8,128,509,60.3,87,346
8,2017년08월,계룡로,65.7,337,1221,67.1,238,865,67.0,188,688,68.9,149,550,65.6,155,570,65.0,221,810,64.9,407,1476,62.3,717,2626,56.4,927,3417,58.4,892,3289,57.1,887,3244,57.1,893,3267,57.8,864,3165,56.4,913,3356,55.0,930,3417,55.1,928,3419,55.2,948,3497,55.5,999,3691,53.5,1045,3872,55.1,921,3391,55.6,810,2966,55.8,746,2722,57.9,637,2314,61.8,443,1605
