date,SO2 (ppm),PM10 (ug/m3),O3 (ppm),NO2 (ppm),CO (ppm),PM2.5 (ug/m3)
2017-06-01,0.001,42.0,0.024,0.023,0.5,24.0
2017-06-02,0.002,34.0,0.03,0.023,0.6,14.0
2017-06-03,0.003,25.0,0.032,0.021,0.5,11.0
2017-06-04,0.003,31.0,0.04,0.02,0.5,14.0
2017-06-05,0.004,35.0,0.033,0.031,0.7,14.0
2017-06-06,0.003,32.0,0.03,0.021,0.5,11.0
2017-06-07,0.002,21.0,0.019,0.024,0.6,12.0
2017-06-08,0.002,46.0,0.040999999999999995,0.023,0.8,23.0
2017-06-09,0.002,51.0,0.044000000000000004,0.026000000000000002,0.8,28.0
2017-06-10,0.002,61.0,0.052000000000000005,0.023,0.8,35.0
2017-06-11,0.003,41.0,0.044000000000000004,0.018000000000000002,0.6,15.0
2017-06-12,0.003,32.0,0.035,0.019,0.5,13.0
2017-06-13,0.003,36.0,0.032,0.022000000000000002,0.5,13.0
2017-06-14,0.004,49.0,0.031,0.034,0.5,22.0
2017-06-15,0.003,53.0,0.037000000000000005,0.033,0.3,25.0
2017-06-16,0.003,62.0,0.049,0.044000000000000004,0.4,33.0
2017-06-17,0.003,46.0,0.044000000000000004,0.040999999999999995,0.4,24.0
2017-06-18,0.004,44.0,0.048,0.033,0.4,26.0
2017-06-19,0.003,50.0,0.040999999999999995,0.043,0.4,29.0
2017-06-20,0.004,49.0,0.034,0.043,0.4,33.0
2017-06-21,0.005,47.0,0.032,0.037000000000000005,0.4,30.0
2017-06-22,0.003,35.0,0.034,0.032,0.3,23.0
2017-06-23,0.003,36.0,0.033,0.046,0.4,23.0
2017-06-24,0.002,44.0,0.028999999999999998,0.04,0.4,29.0
2017-06-25,0.001,48.0,0.033,0.028999999999999998,0.3,26.0
2017-06-26,0.001,31.0,0.025,0.027000000000000003,0.3,20.0
2017-06-27,0.001,40.0,0.023,0.023,0.4,24.0
2017-06-28,0.001,37.0,0.031,0.02,0.4,25.0
2017-06-29,0.001,53.0,0.035,0.019,0.4,37.0
2017-06-30,0.002,61.0,0.036000000000000004,0.021,0.5,45.0
2017-07-01,0.001,29.0,0.013999999999999999,0.019,0.4,17.0
2017-07-02,0.001,21.0,0.008,0.01,0.2,12.0
2017-07-03,0.001,19.0,0.011000000000000001,0.013999999999999999,0.2,12.0
2017-07-04,0.001,19.0,0.015,0.013999999999999999,0.2,14.0
2017-07-05,0.001,38.0,0.027000000000000003,0.017,0.3,29.0
2017-07-06,0.001,32.0,0.018000000000000002,0.016,0.3,21.0
2017-07-07,0.001,17.0,0.009000000000000001,0.013000000000000001,0.3,10.0
2017-07-08,0.001,12.0,0.009000000000000001,0.015,0.3,10.0
2017-07-09,0.001,15.0,0.015,0.011000000000000001,0.2,11.0
2017-07-10,0.001,17.0,0.01,0.012,0.2,12.0
2017-07-11,0.002,35.0,0.027999999999999997,0.013999999999999999,0.2,26.0
2017-07-12,0.004,43.0,0.028999999999999998,0.016,0.3,34.0
2017-07-13,0.004,35.0,0.027000000000000003,0.016,0.3,30.0
2017-07-14,0.004,29.0,0.024,0.016,0.3,21.0
2017-07-15,0.004,8.0,0.016,0.013000000000000001,0.2,9.0
2017-07-16,0.004,10.0,0.009000000000000001,0.009000000000000001,0.2,9.0
2017-07-17,0.004,14.0,0.009000000000000001,0.013000000000000001,0.2,11.0
2017-07-18,0.003,17.0,0.013999999999999999,0.013999999999999999,0.3,12.0
2017-07-19,0.004,30.0,0.025,0.017,0.3,24.0
2017-07-20,0.003,42.0,0.024,0.017,0.4,36.0
2017-07-21,0.004,41.0,0.026000000000000002,0.02,0.3,33.0
2017-07-22,0.004,39.0,0.024,0.017,0.3,33.0
2017-07-23,0.003,38.0,0.02,0.015,0.3,31.0
2017-07-24,0.002,50.0,0.017,0.017,0.4,39.0
2017-07-25,0.002,27.0,0.022000000000000002,0.015,0.4,19.0
2017-07-26,0.002,15.0,0.027000000000000003,0.013000000000000001,0.3,8.0
2017-07-27,0.002,19.0,0.026000000000000002,0.018000000000000002,0.3,12.0
2017-07-28,0.002,29.0,0.025,0.016,0.3,20.0
2017-07-29,0.002,19.0,0.024,0.012,0.3,12.0
2017-07-30,0.002,18.0,0.021,0.012,0.3,13.0
2017-07-31,0.002,17.0,0.011000000000000001,0.013999999999999999,0.4,13.0
2017-08-01,0.002,14.0,0.016,0.016,0.4,7.0
2017-08-02,0.002,19.0,0.019,0.013000000000000001,0.4,10.0
2017-08-03,0.002,19.0,0.026000000000000002,0.012,0.4,12.0
2017-08-04,0.002,20.0,0.021,0.013999999999999999,0.4,15.0
2017-08-05,0.002,16.0,0.021,0.012,0.3,11.0
2017-08-06,0.002,20.0,0.031,0.012,0.3,10.0
2017-08-07,0.002,26.0,0.040999999999999995,0.015,0.4,16.0
2017-08-08,0.002,35.0,0.040999999999999995,0.017,0.5,23.0
2017-08-09,0.002,31.0,,0.019,0.5,20.0
2017-08-10,0.003,23.0,,0.023,0.7,12.0
2017-08-11,0.003,25.0,0.024,0.022000000000000002,0.5,11.0
2017-08-12,0.003,28.0,0.019,0.016,0.3,9.0
2017-08-13,0.003,21.0,0.017,0.01,0.3,7.0
2017-08-14,0.003,16.0,0.015,0.013999999999999999,0.4,5.0
2017-08-15,0.003,13.0,0.013999999999999999,0.012,0.4,5.0
2017-08-16,0.003,17.0,0.011000000000000001,0.017,0.4,6.0
2017-08-17,0.003,20.0,0.013999999999999999,0.017,0.4,7.0
2017-08-18,0.003,30.0,0.023,0.02,0.5,13.0
2017-08-19,0.003,34.0,0.021,0.021,0.5,16.0
2017-08-20,0.003,26.0,0.026000000000000002,0.013999999999999999,0.4,11.0
2017-08-21,0.003,22.0,0.013000000000000001,0.016,0.4,9.0
2017-08-22,0.003,28.0,0.013999999999999999,0.017,0.3,12.0
2017-08-23,0.003,23.0,0.021,0.013000000000000001,0.3,6.0
2017-08-24,0.003,22.0,0.023,0.013999999999999999,0.3,6.0
2017-08-25,0.004,39.0,0.032,0.027000000000000003,0.5,17.0
2017-08-26,0.004,39.0,0.040999999999999995,0.024,0.5,15.0
2017-08-27,0.004,37.0,0.04,0.024,0.5,14.0
2017-08-28,0.004,38.0,,0.022000000000000002,,15.0
2017-08-29,0.005,42.0,0.032,0.018000000000000002,0.6,13.0
2017-08-30,0.005,50.0,0.012,0.026000000000000002,0.5,15.0
2017-08-31,0.004,54.0,0.051,0.032,0.6,22.0
2017-09-01,0.002,40.0,0.015,0.027000000000000003,0.4,16.0
2017-09-02,0.002,28.0,0.013000000000000001,0.024,0.4,9.0
2017-09-03,0.002,25.0,0.015,0.021,0.3,9.0
2017-09-04,0.002,27.0,0.01,0.02,0.4,15.0
2017-09-05,0.002,46.0,0.015,0.047,0.4,18.0
2017-09-06,0.002,50.0,0.015,0.044000000000000004,0.4,17.0
2017-09-07,0.002,61.0,0.03,0.043,0.4,23.0
2017-09-08,0.002,69.0,0.025,0.049,0.6,35.0
2017-09-09,0.002,74.0,0.024,0.054000000000000006,0.6,36.0
2017-09-10,0.002,60.0,0.022000000000000002,0.040999999999999995,0.5,30.0
2017-09-11,0.002,37.0,0.022000000000000002,0.037000000000000005,0.4,15.0
2017-09-12,0.002,52.0,0.018000000000000002,0.040999999999999995,0.5,19.0
2017-09-13,0.003,40.0,0.018000000000000002,0.04,0.5,13.0
2017-09-14,0.003,39.0,0.021,0.042,0.5,13.0
2017-09-15,0.002,32.0,0.027999999999999997,0.026000000000000002,0.3,7.0
2017-09-16,0.002,27.0,0.025,0.025,0.3,6.0
2017-09-17,0.003,23.0,0.02,0.03,0.3,7.0
2017-09-18,0.003,37.0,0.018000000000000002,0.040999999999999995,0.4,12.0
2017-09-19,0.003,85.0,0.042,0.05,0.6,41.0
2017-09-20,0.003,55.0,0.03,0.042,0.5,20.0
2017-09-21,0.002,39.0,0.019,0.051,0.4,14.0
2017-09-22,0.002,39.0,0.026000000000000002,0.054000000000000006,0.4,18.0
2017-09-23,0.002,45.0,0.02,0.049,0.5,24.0
2017-09-24,0.002,45.0,0.03,0.044000000000000004,0.5,34.0
2017-09-25,0.002,62.0,0.027000000000000003,0.049,0.6,38.0
2017-09-26,0.003,56.0,0.025,0.052000000000000005,0.5,26.0
2017-09-27,0.002,40.0,0.02,0.043,0.5,15.0
2017-09-28,0.003,41.0,0.015,0.047,0.4,14.0
2017-09-29,0.003,39.0,0.021,0.046,0.5,13.0
2017-09-30,0.003,42.0,0.017,0.057999999999999996,0.5,17.0
2017-10-01,0.003,37.0,0.018000000000000002,0.04,0.4,15.0
2017-10-02,0.003,26.0,0.012,0.044000000000000004,0.5,11.0
2017-10-03,0.004,49.0,0.021,0.033,0.4,16.0
2017-10-04,0.004,41.0,0.022000000000000002,0.027000000000000003,0.3,12.0
2017-10-05,0.003,30.0,0.028999999999999998,0.026000000000000002,0.3,7.0
2017-10-06,0.003,24.0,0.02,0.031,0.3,7.0
2017-10-07,0.003,29.0,0.009000000000000001,0.036000000000000004,0.4,9.0
2017-10-08,0.003,23.0,0.013000000000000001,0.038,0.4,10.0
2017-10-09,0.003,29.0,0.015,0.037000000000000005,0.4,13.0
2017-10-10,0.002,31.0,0.012,0.035,0.4,13.0
2017-10-11,0.002,30.0,0.013000000000000001,0.027999999999999997,0.4,11.0
2017-10-12,0.003,43.0,0.006999999999999999,0.034,0.4,14.0
