,PM2.5,PM10,교통량합계,평균기온,일강수량,평균풍속,TPM2.5,TPM10,BPM2.5,BPM10,JPM2.5,JPM10
0,24.0,42.0,108656.0,22.0,0.0,1.8,40,67,23,57,72,164
1,14.0,34.0,114477.0,20.6,0.0,1.5,14,52,23,65,44,132
2,11.0,25.0,111557.0,20.6,0.0,1.8,30,54,29,56,28,79
3,14.0,31.0,57121.0,21.2,0.0,1.4,35,70,48,93,48,114
4,14.0,35.0,112199.0,22.6,0.0,1.3,52,97,65,115,23,63
5,11.0,32.0,93926.0,18.7,9.5,1.4,38,45,37,32,30,48
6,12.0,21.0,105052.0,17.8,4.5,1.6,49,56,47,50,40,76
7,23.0,46.0,108703.0,20.3,0.0,1.7,55,98,25,54,43,102
8,28.0,51.0,112822.0,22.3,0.0,2.2,39,96,29,90,35,76
9,35.0,61.0,110838.0,22.7,0.0,2.0,12,59,21,69,76,162
10,15.0,41.0,92274.0,23.3,0.0,1.3,23,72,33,85,70,133
11,13.0,32.0,108882.0,21.9,0.0,1.4,32,67,34,78,54,132
12,13.0,36.0,108516.0,21.9,0.0,1.5,46,66,40,62,67,140
13,22.0,49.0,109120.0,21.8,0.0,1.4,57,94,37,60,97,193
14,25.0,53.0,109127.0,23.3,0.0,2.1,63,123,38,95,85,158
15,33.0,62.0,112594.0,25.0,0.0,1.3,67,115,59,131,65,124
16,24.0,46.0,111319.0,24.9,0.0,1.1,55,117,82,159,50,106
17,26.0,44.0,92599.0,25.1,0.0,1.3,45,104,70,124,42,94
18,29.0,50.0,108087.0,26.2,0.0,1.1,65,121,37,70,44,87
19,33.0,49.0,109456.0,25.5,0.0,0.9,24,49,32,64,61,115
20,30.0,47.0,109322.0,25.2,0.0,1.8,35,62,48,79,58,98
21,23.0,35.0,109910.0,25.6,0.0,1.4,47,48,33,29,59,116
22,23.0,36.0,112333.0,27.5,0.0,1.4,29,28,19,12,56,99
23,29.0,44.0,108693.0,24.1,4.5,1.1,41,42,21,26,44,84
24,26.0,48.0,92206.0,25.0,0.0,1.3,52,58,26,43,36,70
25,20.0,31.0,108679.0,23.8,3.0,1.2,50,78,24,44,43,93
26,24.0,40.0,107833.0,24.4,23.0,1.2,71,98,70,96,53,95
27,25.0,37.0,107717.0,25.1,5.5,1.3,73,108,98,125,64,107
28,37.0,53.0,108270.0,26.2,0.0,1.1,77,108,52,77,58,94
29,45.0,61.0,113039.0,26.9,0.0,1.4,72,100,72,113,61,100
30,17.0,29.0,105991.0,24.1,21.0,0.7,88,117,89,132,73,124
31,12.0,21.0,88273.0,26.1,32.5,0.9,38,58,88,108,63,118
32,12.0,19.0,104190.0,25.6,75.0,2.1,39,51,61,72,74,148
33,14.0,19.0,105188.0,26.2,19.5,1.7,42,60,48,51,63,118
34,29.0,38.0,109859.0,28.0,0.0,1.0,41,54,82,80,60,109
35,21.0,32.0,106714.0,26.4,4.0,0.9,78,90,70,79,38,69
36,10.0,17.0,111904.0,27.2,3.0,0.7,58,64,32,38,34,56
37,10.0,12.0,104923.0,26.4,55.0,0.8,62,102,41,61,29,60
38,11.0,15.0,91340.0,27.6,40.5,0.9,56,87,73,94,29,51
39,12.0,17.0,106014.0,26.8,18.5,1.0,29,57,25,55,34,86
40,26.0,35.0,105961.0,27.0,4.5,2.1,56,114,48,94,31,72
41,34.0,43.0,109842.0,27.9,0.0,1.5,43,87,74,132,26,60
42,30.0,35.0,109941.0,27.6,0.0,1.2,45,81,63,90,24,56
43,21.0,29.0,113667.0,27.6,3.5,1.2,47,115,34,63,24,55
44,9.0,8.0,106380.0,25.4,24.5,1.2,56,88,40,45,27,59
45,9.0,10.0,90871.0,27.6,0.0,1.9,47,48,67,83,30,59
46,11.0,14.0,107020.0,25.8,9.5,1.2,31,47,54,68,48,87
47,12.0,17.0,107295.0,25.7,2.0,1.2,76,89,60,61,27,56
48,24.0,30.0,109707.0,28.2,0.0,1.0,44,56,75,74,25,43
49,36.0,42.0,110185.0,29.2,0.0,1.3,63,88,99,105,25,51
50,33.0,41.0,114121.0,30.0,0.0,1.3,26,36,22,23,30,59
51,33.0,39.0,109597.0,29.6,0.0,1.3,33,35,23,34,82,174
52,31.0,38.0,90666.0,27.9,0.5,1.2,53,59,44,59,79,165
53,39.0,50.0,105979.0,28.5,2.0,1.2,95,89,40,54,100,182
54,19.0,27.0,108601.0,28.4,30.0,1.4,46,57,32,52,90,163
55,8.0,15.0,108339.0,27.9,0.0,1.7,29,50,22,34,43,104
56,12.0,19.0,108914.0,28.0,0.0,1.1,79,82,40,66,42,76
57,20.0,29.0,111860.0,28.4,1.0,1.4,77,93,28,56,76,146
58,12.0,19.0,105536.0,27.2,0.5,1.5,39,43,31,58,28,50
59,13.0,18.0,92147.0,27.6,8.0,1.1,49,67,38,66,98,168
60,13.0,17.0,105235.0,24.9,36.0,0.7,52,61,80,101,124,211
61,7.0,14.0,106805.0,27.1,21.0,0.8,36,45,66,72,36,79
62,10.0,19.0,108590.0,29.4,0.0,1.0,23,38,34,42,31,82
63,12.0,19.0,106559.0,28.7,0.0,2.0,18,31,23,57,27,54
64,15.0,20.0,108030.0,30.3,0.0,1.2,50,75,21,43,34,73
65,11.0,16.0,104497.0,31.9,0.0,1.2,38,51,27,57,52,102
66,10.0,20.0,90181.0,30.1,36.5,1.1,33,56,17,34,59,100
67,16.0,26.0,106369.0,29.0,0.0,1.4,29,63,11,35,44,89
68,23.0,35.0,106806.0,28.5,0.0,0.9,36,61,29,69,48,108
69,20.0,31.0,104212.0,24.7,21.0,0.9,26,36,24,34,44,89
70,12.0,23.0,107041.0,26.3,46.0,1.1,54,69,65,83,47,103
71,11.0,25.0,111121.0,26.2,54.5,0.7,91,116,88,95,50,91
72,9.0,28.0,105095.0,26.9,0.0,1.0,53,77,31,35,52,89
73,7.0,21.0,87318.0,24.9,2.5,1.5,47,56,40,47,33,68
74,5.0,16.0,103671.0,22.8,64.0,1.4,18,31,28,39,12,30
75,5.0,13.0,89066.0,23.6,44.0,1.2,33,57,55,75,26,51
76,6.0,17.0,105889.0,25.6,3.5,0.9,40,54,56,67,45,83
77,7.0,20.0,106525.0,26.1,0.0,1.2,37,51,23,35,24,54
78,13.0,30.0,111522.0,26.6,0.0,0.9,42,54,53,68,42,81
79,16.0,34.0,107367.0,25.5,4.0,0.8,31,46,42,43,43,82
80,11.0,26.0,91969.0,26.4,5.5,1.4,46,58,60,69,50,83
81,9.0,22.0,105445.0,24.8,43.5,0.8,45,69,72,94,38,74
82,12.0,28.0,107410.0,27.6,0.0,1.1,65,89,72,81,44,74
83,6.0,23.0,107750.0,28.9,1.5,1.5,35,53,20,32,33,57
84,6.0,22.0,105500.0,28.2,49.0,2.4,36,58,13,37,30,58
85,17.0,39.0,115425.0,27.0,0.0,1.2,18,60,10,38,35,90
86,15.0,39.0,113164.0,24.3,0.0,1.1,28,71,15,56,26,80
87,14.0,37.0,95069.0,24.3,0.0,0.9,19,26,17,26,39,103
88,15.0,38.0,111035.0,25.3,24.0,1.1,29,30,19,23,20,38
89,13.0,42.0,110457.0,22.2,0.0,1.7,23,48,17,50,36,68
90,15.0,50.0,111112.0,18.9,0.0,1.1,19,32,52,87,18,33
91,22.0,54.0,112320.0,22.1,0.0,1.1,43,54,83,99,28,55
92,16.0,40.0,116545.0,22.3,0.0,0.9,59,70,139,145,39,78
93,9.0,28.0,111253.0,21.5,0.0,0.9,47,63,103,105,39,85
94,9.0,25.0,96599.0,22.3,0.0,0.8,63,82,58,81,43,88
95,15.0,27.0,111169.0,23.0,0.0,1.1,57,75,88,107,27,57
96,18.0,46.0,108984.0,21.2,0.5,0.7,59,76,39,85,28,53
97,17.0,50.0,108809.0,21.3,2.0,0.8,61,85,16,53,35,60
98,23.0,61.0,110846.0,22.3,0.0,0.9,76,104,48,105,32,59
99,35.0,69.0,115851.0,23.1,0.0,0.8,89,119,118,152,33,68
100,36.0,74.0,114513.0,23.0,0.0,0.7,66,82,101,119,42,86
101,30.0,60.0,96182.0,22.9,0.0,0.7,47,66,86,107,32,72
102,15.0,37.0,108160.0,20.5,69.0,1.2,35,66,20,43,38,89
103,19.0,52.0,110004.0,22.4,0.0,1.1,38,80,23,65,38,101
104,13.0,40.0,112958.0,21.1,0.0,0.9,52,96,74,125,32,86
105,13.0,39.0,113601.0,21.6,0.0,1.1,51,87,85,118,29,90
106,7.0,32.0,116460.0,21.7,0.0,2.1,72,101,60,102,44,123
107,6.0,27.0,114957.0,21.4,0.0,1.7,119,134,91,124,58,128
108,7.0,23.0,99409.0,22.4,0.0,1.4,40,65,11,47,58,127
109,12.0,37.0,111206.0,21.6,0.0,1.3,51,109,23,73,75,153
110,41.0,85.0,106308.0,23.5,0.0,1.7,23,70,13,48,44,114
111,20.0,55.0,97010.0,20.6,2.5,1.5,23,77,14,58,26,109
112,14.0,39.0,109418.0,19.4,0.0,0.7,48,108,59,124,42,103
113,18.0,39.0,112185.0,20.3,0.0,0.9,23,94,23,94,43,134
114,24.0,45.0,108514.0,20.8,0.0,0.7,43,171,50,192,52,142
115,34.0,45.0,93723.0,23.0,0.0,1.0,104,160,64,157,42,82
116,38.0,62.0,107566.0,23.4,0.0,0.9,79,87,76,127,37,76
117,26.0,56.0,108495.0,23.7,0.0,0.8,34,66,48,77,40,86
118,15.0,40.0,106698.0,19.2,36.5,1.0,15,40,28,61,18,72
119,14.0,41.0,113555.0,20.6,0.0,1.4,14,39,10,37,18,82
120,13.0,39.0,117359.0,15.9,0.0,1.1,63,124,45,103,45,119
121,17.0,42.0,110254.0,17.8,0.0,0.6,72,104,113,154,37,82
122,15.0,37.0,90462.0,16.0,12.0,0.8,73,112,69,89,39,72
123,11.0,26.0,98868.0,19.1,3.5,0.6,14,59,13,43,20,67
124,16.0,49.0,84867.0,18.8,0.0,1.0,22,48,16,39,23,65
125,12.0,41.0,89114.0,17.7,0.0,1.2,42,58,30,62,29,68
126,7.0,30.0,81267.0,18.2,0.0,1.4,38,57,55,78,29,66
127,7.0,24.0,86330.0,17.0,1.5,0.8,57,76,67,88,52,120
128,9.0,29.0,95932.0,19.7,0.5,0.6,91,86,114,128,84,148
129,10.0,23.0,87753.0,21.4,0.0,0.6,89,60,123,102,92,135
130,13.0,29.0,93862.0,22.1,0.0,0.7,36,20,29,24,45,73
131,13.0,31.0,100265.0,22.7,0.0,0.9,11,11,6,7,8,14
132,11.0,30.0,100174.0,17.9,11.0,1.4,23,34,11,20,24,46
133,14.0,43.0,99932.0,12.8,2.5,1.0,44,62,22,37,44,87
134,19.0,55.0,107174.0,12.3,0.0,1.0,88,98,38,54,62,110
135,16.0,48.0,110154.0,14.0,0.0,1.0,46,63,15,33,109,201
136,11.0,40.0,93524.0,15.1,0.0,1.0,89,97,50,53,93,166
137,14.0,44.0,107090.0,16.4,0.0,1.0,50,61,41,54,119,206
138,18.0,48.0,107990.0,15.9,0.0,0.8,34,62,70,77,88,165
139,9.0,39.0,105905.0,16.3,0.0,1.4,62,58,69,44,61,105
140,10.0,36.0,108980.0,16.9,0.0,1.2,84,73,56,40,74,125
141,12.0,36.0,48175.0,16.7,0.0,0.8,95,91,98,79,74,125
142,13.0,41.0,112677.0,16.2,0.0,0.7,71,79,73,71,76,134
143,10.0,32.0,94609.0,16.5,0.0,1.6,30,57,39,48,57,120
144,12.0,44.0,109922.0,13.3,0.0,1.1,29,56,36,43,28,75
145,17.0,56.0,89582.0,12.4,0.0,0.6,50,70,70,72,33,92
146,25.0,66.0,108705.0,12.5,0.0,0.6,86,112,110,92,62,152
147,35.0,81.0,107769.0,13.1,0.0,0.6,160,158,153,123,64,138
148,44.0,90.0,110437.0,14.6,0.0,0.6,203,183,170,123,82,156
149,15.0,62.0,113371.0,15.5,0.0,0.7,75,85,43,55,86,174
150,15.0,75.0,96137.0,12.3,0.0,1.5,13,28,8,23,9,52
151,18.0,57.0,109326.0,7.7,0.0,1.0,36,62,19,44,23,83
152,16.0,58.0,94880.0,8.9,0.0,0.7,75,121,62,105,42,114
153,21.0,64.0,107699.0,12.9,0.0,1.0,85,133,65,100,65,149
154,29.0,71.0,105564.0,13.9,0.0,0.5,126,144,52,87,124,227
155,28.0,71.0,109676.0,11.8,0.0,1.4,22,47,8,28,42,101
156,34.0,74.0,109914.0,8.5,0.0,1.2,46,71,38,64,25,74
157,35.0,76.0,95493.0,7.3,0.0,0.6,54,88,101,120,35,86
158,31.0,72.0,108387.0,9.1,0.0,0.6,86,120,152,144,42,97
159,27.0,66.0,94941.0,14.0,0.0,0.5,88,131,81,99,92,188
160,28.0,95.0,95119.0,15.0,0.0,1.6,17,48,20,45,88,238
161,20.0,66.0,108694.0,9.2,0.0,0.5,63,117,53,94,30,120
162,20.0,72.0,109494.0,10.5,2.0,1.5,22,66,7,37,31,98
163,13.0,88.0,111895.0,6.7,0.0,1.2,26,46,18,38,25,84
164,20.0,56.0,95119.0,5.7,0.0,0.6,82,125,56,93,46,114
165,30.0,73.0,105285.0,7.7,0.0,0.7,63,108,26,71,62,133
166,19.0,68.0,106720.0,9.4,0.0,1.4,13,36,11,32,31,102
167,11.0,53.0,94034.0,6.3,0.0,1.6,24,49,16,38,50,132
168,16.0,52.0,106734.0,3.4,0.0,1.0,44,77,58,87,90,202
169,27.0,74.0,109719.0,5.2,0.0,0.7,39,70,22,58,75,188
170,18.0,62.0,107577.0,1.1,0.0,2.3,26,41,40,62,14,42
171,13.0,45.0,93787.0,0.1,0.0,1.3,94,128,89,118,42,99
172,19.0,58.0,106947.0,4.2,0.0,1.3,151,172,105,129,99,171
173,28.0,63.0,107049.0,2.8,0.0,0.6,146,168,119,158,81,142
174,28.0,86.0,105946.0,5.2,0.0,0.9,11,51,7,31,47,128
175,11.0,46.0,105620.0,2.1,0.5,1.2,14,42,7,29,35,107
176,13.0,37.0,111891.0,1.4,6.0,1.1,20,45,22,50,23,85
177,18.0,66.0,106208.0,6.5,0.0,1.7,54,99,39,74,71,169
178,24.0,65.0,91512.0,7.7,3.0,1.8,18,45,12,30,63,148
179,40.0,89.0,106872.0,3.7,0.0,0.5,60,94,70,96,60,140
180,44.0,96.0,104619.0,6.2,0.0,0.6,63,119,37,76,80,178
181,25.0,84.0,107363.0,6.9,0.0,1.4,16,48,14,36,36,103
