,date,TPM2.5,TPM10,JPM2.5,JPM10,BPM2.5,BPM10,교통량합계,평균기온(°C),일강수량(mm),평균 풍속(m/s),SO2 (ppm),PM10 (ug/m3),O3 (ppm),NO2 (ppm),CO (ppm),PM2.5 (ug/m3)
0,2017-06-01,40,67,72,164,23,57,108656.0,22.0,0.0,1.8,0.001,42.0,0.024,0.023,0.5,24.0
1,2017-06-02,14,52,44,132,23,65,114477.0,20.6,0.0,1.5,0.002,34.0,0.03,0.023,0.6,14.0
2,2017-06-03,30,54,28,79,29,56,111557.0,20.6,0.0,1.8,0.003,25.0,0.032,0.021,0.5,11.0
3,2017-06-04,35,70,48,114,48,93,57121.0,21.2,0.0,1.4,0.003,31.0,0.04,0.02,0.5,14.0
4,2017-06-05,52,97,23,63,65,115,112199.0,22.6,0.0,1.3,0.004,35.0,0.033,0.031,0.7,14.0
5,2017-06-06,38,45,30,48,37,32,93926.0,18.7,9.5,1.4,0.003,32.0,0.03,0.021,0.5,11.0
6,2017-06-07,49,56,40,76,47,50,105052.0,17.8,4.5,1.6,0.002,21.0,0.019,0.024,0.6,12.0
7,2017-06-08,55,98,43,102,25,54,108703.0,20.3,0.0,1.7,0.002,46.0,0.0409999999999999,0.023,0.8,23.0
8,2017-06-09,39,96,35,76,29,90,112822.0,22.3,0.0,2.2,0.002,51.0,0.044,0.026,0.8,28.0
9,2017-06-10,12,59,76,162,21,69,110838.0,22.7,0.0,2.0,0.002,61.0,0.052,0.023,0.8,35.0
10,2017-06-11,23,72,70,133,33,85,92274.0,23.3,0.0,1.3,0.003,41.0,0.044,0.018,0.6,15.0
11,2017-06-12,32,67,54,132,34,78,108882.0,21.9,0.0,1.4,0.003,32.0,0.035,0.019,0.5,13.0
12,2017-06-13,46,66,67,140,40,62,108516.0,21.9,0.0,1.5,0.003,36.0,0.032,0.022,0.5,13.0
13,2017-06-14,57,94,97,193,37,60,109120.0,21.8,0.0,1.4,0.004,49.0,0.031,0.034,0.5,22.0
14,2017-06-15,63,123,85,158,38,95,109127.0,23.3,0.0,2.1,0.003,53.0,0.037,0.033,0.3,25.0
15,2017-06-16,67,115,65,124,59,131,112594.0,25.0,0.0,1.3,0.003,62.0,0.049,0.044,0.4,33.0
16,2017-06-17,55,117,50,106,82,159,111319.0,24.9,0.0,1.1,0.003,46.0,0.044,0.0409999999999999,0.4,24.0
17,2017-06-18,45,104,42,94,70,124,92599.0,25.1,0.0,1.3,0.004,44.0,0.048,0.033,0.4,26.0
18,2017-06-19,65,121,44,87,37,70,108087.0,26.2,0.0,1.1,0.003,50.0,0.0409999999999999,0.043,0.4,29.0
19,2017-06-20,24,49,61,115,32,64,109456.0,25.5,0.0,0.9,0.004,49.0,0.034,0.043,0.4,33.0
20,2017-06-21,35,62,58,98,48,79,109322.0,25.2,0.0,1.8,0.005,47.0,0.032,0.037,0.4,30.0
21,2017-06-22,47,48,59,116,33,29,109910.0,25.6,0.0,1.4,0.003,35.0,0.034,0.032,0.3,23.0
22,2017-06-23,29,28,56,99,19,12,112333.0,27.5,0.0,1.4,0.003,36.0,0.033,0.046,0.4,23.0
23,2017-06-24,41,42,44,84,21,26,108693.0,24.1,4.5,1.1,0.002,44.0,0.0289999999999999,0.04,0.4,29.0
24,2017-06-25,52,58,36,70,26,43,92206.0,25.0,0.0,1.3,0.001,48.0,0.033,0.0289999999999999,0.3,26.0
25,2017-06-26,50,78,43,93,24,44,108679.0,23.8,3.0,1.2,0.001,31.0,0.025,0.027,0.3,20.0
26,2017-06-27,71,98,53,95,70,96,107833.0,24.4,23.0,1.2,0.001,40.0,0.023,0.023,0.4,24.0
27,2017-06-28,73,108,64,107,98,125,107717.0,25.1,5.5,1.3,0.001,37.0,0.031,0.02,0.4,25.0
28,2017-06-29,77,108,58,94,52,77,108270.0,26.2,0.0,1.1,0.001,53.0,0.035,0.019,0.4,37.0
29,2017-06-30,72,100,61,100,72,113,113039.0,26.9,0.0,1.4,0.002,61.0,0.036,0.021,0.5,45.0
30,2017-07-01,88,117,73,124,89,132,105991.0,24.1,21.0,0.7,0.001,29.0,0.0139999999999999,0.019,0.4,17.0
31,2017-07-02,38,58,63,118,88,108,88273.0,26.1,32.5,0.9,0.001,21.0,0.008,0.01,0.2,12.0
32,2017-07-03,39,51,74,148,61,72,104190.0,25.6,75.0,2.1,0.001,19.0,0.011,0.0139999999999999,0.2,12.0
33,2017-07-04,42,60,63,118,48,51,105188.0,26.2,19.5,1.7,0.001,19.0,0.015,0.0139999999999999,0.2,14.0
34,2017-07-05,41,54,60,109,82,80,109859.0,28.0,0.0,1.0,0.001,38.0,0.027,0.017,0.3,29.0
35,2017-07-06,78,90,38,69,70,79,106714.0,26.4,4.0,0.9,0.001,32.0,0.018,0.016,0.3,21.0
36,2017-07-07,58,64,34,56,32,38,111904.0,27.2,3.0,0.7,0.001,17.0,0.009,0.013,0.3,10.0
37,2017-07-08,62,102,29,60,41,61,104923.0,26.4,55.0,0.8,0.001,12.0,0.009,0.015,0.3,10.0
38,2017-07-09,56,87,29,51,73,94,91340.0,27.6,40.5,0.9,0.001,15.0,0.015,0.011,0.2,11.0
39,2017-07-10,29,57,34,86,25,55,106014.0,26.8,18.5,1.0,0.001,17.0,0.01,0.012,0.2,12.0
40,2017-07-11,56,114,31,72,48,94,105961.0,27.0,4.5,2.1,0.002,35.0,0.0279999999999999,0.0139999999999999,0.2,26.0
41,2017-07-12,43,87,26,60,74,132,109842.0,27.9,0.0,1.5,0.004,43.0,0.0289999999999999,0.016,0.3,34.0
42,2017-07-13,45,81,24,56,63,90,109941.0,27.6,0.0,1.2,0.004,35.0,0.027,0.016,0.3,30.0
43,2017-07-14,47,115,24,55,34,63,113667.0,27.6,3.5,1.2,0.004,29.0,0.024,0.016,0.3,21.0
